feature,mean_abs_shap
HU-RO Schedule_t+105min,137.63168184584865
HU-UA Schedule_t+615min,137.52176022380888
HU-AT_t-405min,137.50403133358702
HU-RO_t-255min,137.4270247634488
Activated Negative aFRR Balancing Energy (kWh)_t-105min,136.79192402570033
HU-RO Schedule_t+45min,136.72299463135695
HU-AT Schedule,136.42108683939463
HU-UA_t-300min,136.32565710006867
Estimated Solar Power Production (Current)_t+90min,136.09673201478137
Estimated Solar Power Production (Current)_t+330min,136.07432435015153
Gross Actual Power Plant Generation_t-75min,135.89130725202457
HU-AT_t-75min,135.181132453345
System Direction (kWh)_t-495min,134.96338279958417
HU-RS Schedule_t+30min,134.91384625609226
Estimated Solar Power Production (Day-Ahead)_t+600min,134.61586490221237
Activated Negative aFRR Balancing Energy (kWh)_t-165min,134.54858419762414
Requested Positive aFRR Balancing Energy (kWh)_t-45min,134.44902073665494
HU-UA_t-15min,134.44609580571404
HU-RO Schedule_t+285min,134.42464652234435
Gross Planned Power Plant Generation_t+45min,134.39063950451288
Estimated Solar Power Production (Day-Ahead)_t+300min,134.15008288362665
HU-RO_t-315min,133.8647517883374
Gross System Load Forecast (Day-Ahead)_t+105min,133.73304996829262
HU-RO_t-360min,133.71390949410693
HU-UA_t-120min,133.62402653545874
HU-RS Schedule_t+615min,133.5924223112166
Gross Certified System Load (Actual)_t-345min,133.5730309905418
HU-UA Schedule_t+300min,133.52515754047334
Activated Positive aFRR Balancing Energy (kWh)_t-30min,133.51995487434897
HU-AT_t-30min,133.3343984890119
HU-UA Schedule_t+285min,133.21038616043202
HU-AT Schedule_t+330min,132.78534312167608
Gross Actual Power Plant Generation_t-570min,132.6737843192273
Solar Power Plants Net (Operational Control)_t-210min,132.64181667756907
HU-RO_t-135min,132.49322222487186
Requested Negative aFRR Balancing Energy (kWh)_t-120min,132.32984808358395
Solar Power Plants Net (Operational Control)_t-435min,132.18758069192887
System Direction (kWh)_t-540min,131.83326309580076
Gross Planned Power Plant Generation_t+120min,131.79602098013606
HU-HR_t-420min,131.67140521121578
HU-SK_t-15min,131.64690268970497
Estimated Solar Power Production (Current)_t+570min,131.62682091648335
Estimated Solar Power Production (Day-Ahead)_t+60min,131.46047247192752
Wind Power Actual - Net Operational Control,131.38409503130168
HU-UA_t-90min,131.23275110868434
HU-SK Schedule_t+165min,131.20138247583918
HU-UA Schedule_t+255min,131.10234854239008
Activated Positive aFRR Balancing Energy Cost (HUF)_t-60min,130.76588353951024
HU-RS_t-15min,130.72938890787887
HU-RO Schedule_t+330min,130.68406407267207
Activated Positive aFRR Balancing Energy Cost (HUF)_t-390min,130.4882729812487
Estimated Wind Power Production (Day-Ahead)_t+120min,130.48817109399954
HU-SK_t-150min,130.33837156598304
Requested Negative aFRR Balancing Energy (kWh)_t-135min,130.23121367154243
