,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,System Direction (kWh)_t+15min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,System Direction (kWh)_t+30min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,System Direction (kWh)_t+45min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,System Direction (kWh)_t+60min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,System Direction (kWh)_t+75min
HU-HR,0.005296064355430815,0.005625473189468584,0.0033603816912230735,0.005001544086101421,0.004920732165922516,0.0041587481506188285,0.0037914071888199485,0.0033304527263735735,0.00407646115272055,0.0034631868797774024,0.0031671230350373432,0.003679243191803744,0.0037953241663003156,0.0032927274759580087,0.00348238233837651
HU-HR Schedule,0.00914791339588004,0.009421058451841508,0.0046007540746226365,0.007906441683733681,0.008135809059370286,0.005224899431815575,0.006170733121656292,0.006270038786142197,0.004464459683836981,0.004707770813456512,0.005015522233104502,0.0045424961071160175,0.005957136043807236,0.006309414967480917,0.003996216606878442
HU-RO,0.006529367172155911,0.0067707416353093765,0.006043247049657823,0.006262911961815189,0.006640891604291892,0.006909082829736235,0.005706921299102981,0.006179702525807244,0.006614858420993551,0.00470784074771816,0.004425378833084551,0.005638585358758155,0.004986130284947057,0.005785892848063441,0.005050621785507156
HU-RO Schedule,0.012650578325682,0.012808668159204081,0.007918651415899047,0.012781662405829296,0.013250792064570669,0.009344009417489179,0.013849396538006523,0.013920449265926083,0.008694113209197848,0.012289415398096661,0.012419160732692353,0.010015914380564279,0.011773753227682936,0.012163143648321283,0.007695621935319741
HU-RS,0.004505374437529463,0.004871058633987672,0.0035369049283964504,0.003774713242929567,0.004102641565453087,0.004184572321159362,0.004246744516769445,0.004435208426910958,0.00349057029259306,0.0034893808162306866,0.003614784105543254,0.003458481386505991,0.0031823447852296683,0.0034766356241891228,0.003074767240405985
HU-RS Schedule,0.007889230750839419,0.007753149154641278,0.005217138143481612,0.006169610574812997,0.00649607561970697,0.005505938930621778,0.005565952597533305,0.005316377283303279,0.0053042311080310125,0.0036148822090120757,0.0038372517074186764,0.0038592986522497257,0.005640432214425073,0.006441486744559552,0.004219182288324396
HU-SK,0.006424874157354157,0.006758616119993168,0.005384035438001205,0.006542224151900064,0.006840634566827805,0.004682982323769099,0.005503264087962694,0.0053324761719424265,0.004278949946158685,0.005925225178142978,0.005669723850191036,0.004015155147383786,0.0055091310201785745,0.006065150275203825,0.004401414382831979
HU-SK Schedule,0.007764856615736245,0.007176166144107855,0.005711624704933445,0.007546522763161989,0.00764746353865787,0.00569013244456255,0.008169004422741453,0.008382011318342483,0.005683046746810805,0.007287702720065466,0.007286317827401671,0.005613236400772338,0.00614704187548532,0.0059449745289297425,0.004934669839800937
HU-UA,0.0027599290576572687,0.0029918309698745587,0.003095211329560101,0.002883852869243114,0.0030143108448466476,0.00331363714707627,0.0032352285455566746,0.002879997516583677,0.0027209705158075847,0.002751373373467386,0.0024902607267691564,0.0027435914800930106,0.0017972005428732358,0.0023273035110806853,0.0026563088124921625
HU-UA Schedule,0.0027483761057073937,0.0028156674993721027,0.005088680915493024,0.0028342747176187005,0.0025478019776725433,0.0059504300215011425,0.0026566564736611327,0.002621933850308778,0.005195509679829775,0.0024939480604825805,0.002453072704567421,0.004611462047680471,0.003018037185736466,0.003158257393060194,0.004179203222020806
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh),0.040961693096080345,0.04280024905837418,0.007128143906821878,0.03233589116701614,0.03246287337510785,0.005337524846848191,0.023575880417988353,0.02377713772777697,0.0053307128659348104,0.018549478350246593,0.01869265989109594,0.006606836096563371,0.015543655110131092,0.01605694928588182,0.007100520399733854
