feature,mean_abs_shap
HU-RO Schedule_t+555min,178.30300043488256
Estimated Solar Power Production (Day-Ahead)_t+15min,177.5322086802518
Gross Actual Power Plant Generation_t-345min,176.1019251443796
HU-UA Schedule_t+720min,176.00949643636343
HU-SK Schedule_t+30min,175.66289052249627
ssrd_mean_t+75min,175.66068905990932
Requested Positive aFRR Balancing Energy (kWh)_t-30min,175.20533505839708
Negative GCC Energy (kWh)_t-150min,175.1545364163558
Gross Actual Power Plant Generation_t-225min,175.13618646599244
Activated Positive aFRR Balancing Energy Cost (HUF)_t-30min,174.42504371944145
Estimated Wind Power Production (Day-Ahead)_t+120min,173.58841060825864
Requested Negative aFRR Balancing Energy (kWh)_t-360min,173.3927914102674
Activated Positive aFRR Balancing Energy (kWh)_t-45min,173.22910597240735
Gross Certified System Load (Actual)_t-495min,172.79291830656322
HU-AT Schedule_t+135min,172.7410967110749
HU-RO Schedule_t+480min,172.35002822780805
HU-RO Schedule_t+630min,171.93360475898587
HU-SK_t-555min,171.6397540390487
Requested Negative aFRR Balancing Energy (kWh)_t-180min,171.47075420578943
HU-SK_t-30min,171.2490503670735
Gross Planned Power Plant Generation_t+105min,171.06196809247723
HU-AT Schedule_t+390min,169.9439943482814
Solar Power Plants Net (Operational Control)_t-270min,169.6634846869849
HU-RO Schedule_t+705min,169.57681767690505
HU-UA Schedule_t+690min,168.98328781705004
Negative GCC Energy (kWh)_t-390min,168.6506677387355
Gross System Load Forecast (Day-Ahead)_t+375min,168.49539390474783
Estimated Solar Power Production (Intraday)_t+60min,168.4114385149042
HU-HR_t-495min,168.40001076740927
HU-UA Schedule_t+405min,168.28314589471228
HU-SK_t-420min,167.6219616708654
Estimated Solar Power Production (Intraday)_t+225min,167.4804118431276
Requested Negative aFRR Balancing Energy (kWh)_t-270min,166.585929116607
Negative GCC Energy (kWh)_t-540min,166.35128109157372
HU-UA Schedule_t+540min,166.17070793079048
Estimated Wind Power Production (Day-Ahead)_t+150min,166.0291741508928
Gross Certified System Load (Actual)_t-570min,166.00409972697966
HU-AT_t-525min,165.80944702368484
Requested Negative aFRR Balancing Energy (kWh)_t-75min,165.77141113894277
HU-RO Schedule_t+285min,165.69303175037956
Wind Power Actual - Net Commercial Settlement_t-45min,165.53692084481725
HU-AT Schedule_t+600min,165.33216515477613
HU-RS,164.97588891243294
Negative GCC Energy (kWh)_t-345min,164.70673055793264
Gross Actual Power Plant Generation_t-465min,164.56281950891167
Estimated Wind Power Production (Day-Ahead)_t+195min,164.55986122069285
HU-UA_t-270min,164.13952714312285
Gross Actual Power Plant Generation_t-300min,163.5174494057015
HU-RO Schedule_t+645min,162.9559245962821
HU-UA Schedule_t+240min,162.91897154827217
Gross Actual Power Plant Generation_t-90min,162.45777009105979
temp_mean,162.24589161648424
HU-SK Schedule_t+390min,161.2484656454249
Negative GCC Energy (kWh)_t-120min,161.14636765566868
HU-UA Schedule_t+375min,160.84297809681698
HU-RO Schedule_t+600min,160.73633494538555
HU-HR Schedule_t+225min,160.3639117990571
Gross Planned Power Plant Generation_t+570min,160.20164984542262
temp_mean_t+15min,159.79007121117488
HU-SK_t-600min,159.76063601736794
HU-HR Schedule_t+720min,159.72266959859644
Activated Positive aFRR Balancing Energy Cost (HUF)_t-45min,159.67470142712412
Estimated Solar Power Production (Day-Ahead)_t+255min,158.69420938022455
HU-RO_t-525min,158.34013950027284
Gross Planned Power Plant Generation_t+165min,158.1043865406278
HU-SK Schedule_t+105min,157.93104960317163
System Direction (kWh)_t-105min,157.76363931435054
Estimated Solar Power Production (Day-Ahead)_t+420min,157.51653866702978
Requested Negative aFRR Balancing Energy (kWh)_t-585min,156.6036343957268
Activated Negative aFRR Balancing Energy (kWh)_t-495min,156.5044427964081
Estimated Solar Power Production (Day-Ahead),156.42725840601048
Activated Negative aFRR Balancing Energy (kWh)_t-360min,156.352315006639
Gross Certified System Load (Actual)_t-180min,156.33472554806946
HU-UA_t-585min,155.9509307055749
Gross Planned Power Plant Generation_t+675min,155.84048490050606
HU-SK_t-510min,155.50069497603943
HU-AT Schedule_t+465min,155.39937362231308
HU-SK Schedule_t+570min,155.27934655005632
HU-UA_t-360min,155.23162204046236
HU-RO Schedule_t+510min,155.1360722744662
HU-SK_t-150min,154.2688134515778
HU-UA_t-90min,154.20039644377098
HU-RO Schedule_t+375min,154.13472529444533
HU-AT Schedule_t+690min,153.9952154393752
Activated Negative aFRR Balancing Energy (kWh)_t-540min,153.54092260781675
HU-UA Schedule_t+660min,153.15126202699432
HU-HR Schedule_t+120min,153.11392350918894
HU-UA_t-570min,152.70375213504292
Activated Negative aFRR Balancing Energy (kWh)_t-480min,152.6879989114289
Solar Power Plants Net (Operational Control)_t-510min,152.44472601980436
Gross System Load Forecast (Day-Ahead)_t+165min,152.3041506375815
Gross System Load Forecast (Day-Ahead)_t+390min,152.22850909177768
Gross System Load Forecast (Day-Ahead)_t+480min,152.057277566569
HU-SK_t-210min,152.02765657067044
HU-UA Schedule_t+270min,151.83696878310533
HU-HR Schedule_t+570min,151.2173552741462
HU-UA Schedule_t+510min,150.03563935481446
HU-UA_t-315min,150.0160596363756
HU-AT Schedule_t+450min,149.73861160352286
Solar Power Plants Net (Operational Control)_t-210min,149.71545231981864
HU-SK Schedule_t+210min,149.34271871429678
HU-RO_t-570min,149.30166897001786
Requested Negative aFRR Balancing Energy (kWh)_t-285min,149.12076773928723
Estimated Wind Power Production (Day-Ahead)_t+135min,149.08252963454723
Activated Positive aFRR Balancing Energy (kWh)_t-30min,149.0308208193689
Activated Negative aFRR Balancing Energy (kWh)_t-465min,148.26812280622403
Estimated Solar Power Production (Day-Ahead)_t+60min,148.10708929285505
Negative GCC Energy (kWh)_t-405min,147.85393322999784
HU-HR Schedule_t+150min,147.73501285389156
Requested Negative aFRR Balancing Energy (kWh)_t-240min,147.55108580786134
HU-SK Schedule_t+180min,147.4958327202857
HU-UA Schedule_t+90min,147.286910563574
Gross Certified System Load (Actual)_t-375min,147.2806290997617
HU-UA Schedule_t+465min,147.25030448541182
Negative GCC Energy (kWh)_t-255min,147.20436496745725
Wind Power Actual - Net Commercial Settlement_t-405min,147.09056843233407
Activated Positive aFRR Balancing Energy Cost (HUF)_t-60min,147.04883757647804
HU-AT_t-510min,146.8655917988055
Activated Negative aFRR Balancing Energy (kWh)_t-285min,146.68324078915592
Activated Negative aFRR Balancing Energy (kWh)_t-390min,146.0812480405861
HU-SK_t-165min,145.6670830473188
Gross Certified System Load (Actual)_t-165min,145.26861038813394
System Direction (kWh)_t-15min,145.19855382954688
HU-RS Schedule_t+90min,145.1961392170621
HU-AT Schedule_t+705min,145.1518637392635
HU-AT Schedule_t+675min,145.04291109809395
Gross System Load Forecast (Day-Ahead)_t+720min,144.69689868828704
ssrd_mean_t+30min,144.66605445927274
HU-UA_t-240min,144.42621650807433
Gross Certified System Load (Actual)_t-45min,144.3231848716569
Activated Negative aFRR Balancing Energy (kWh)_t-300min,144.14398857720744
System Direction (kWh)_t-30min,144.09988098347338
HU-UA Schedule_t+330min,144.06640307512004
HU-UA Schedule_t+675min,143.71068506166702
HU-HR Schedule_t+390min,143.32683437480756
Gross System Load Forecast (Day-Ahead)_t+195min,143.30231039549815
HU-AT Schedule_t+315min,143.1988683481106
HU-UA Schedule,143.1126267716732
