feature,mean_abs_shap
ssrd_mean_t+30min,863.3030727143629
HU-RO Schedule_t+510min,862.9951117259643
Gross Actual Power Plant Generation_t-120min,862.1974755087064
HU-SK_t-570min,861.7506634784645
temp_std_t+75min,859.3510681626512
HU-AT_t-480min,859.114020423837
Estimated Solar Power Production (Day-Ahead)_t+300min,857.1687737690443
Gross Planned Power Plant Generation_t+465min,856.8298054623601
HU-RO Schedule_t+690min,852.8311336038689
HU-SK Schedule_t+555min,852.5490172382636
HU-HR Schedule_t+150min,852.1171733222228
Estimated Solar Power Production (Intraday)_t+345min,851.2727793135929
Gross System Load Forecast (Day-Ahead)_t+465min,848.5200664304855
Estimated Solar Power Production (Current)_t+600min,846.958144241674
Activated Negative aFRR Balancing Energy (kWh)_t-360min,843.5882896935736
HU-AT Schedule_t+585min,840.5215184767962
HU-HR Schedule_t+180min,840.4440340683085
Gross Actual Power Plant Generation_t-60min,838.4538487706288
HU-RS Schedule_t+90min,838.4227254885693
HU-AT Schedule_t+120min,838.2490331458822
Gross Actual Power Plant Generation_t-285min,835.6226500394955
Activated Negative aFRR Balancing Energy (kWh)_t-300min,834.3364375938081
Negative GCC Energy (kWh)_t-90min,833.9218415714782
HU-AT Schedule_t+690min,833.3756263615887
HU-HR Schedule_t+225min,833.0784579393732
Estimated Solar Power Production (Current)_t+30min,830.7384388870871
Estimated Wind Power Production (Day-Ahead)_t+135min,829.7124721345318
HU-HR Schedule_t+195min,828.6482769648541
HU-UA_t-480min,828.5053639621158
Gross Planned Power Plant Generation_t+90min,828.3650575997076
HU-SK_t-480min,824.2890974766696
HU-RO Schedule_t+390min,820.2930888328033
Activated Negative aFRR Balancing Energy (kWh)_t-330min,817.5663125821685
HU-RS Schedule_t+150min,817.0235701751454
HU-AT_t-540min,816.1846399965523
Gross System Load Forecast (Day-Ahead)_t+375min,815.2275686985031
System Direction (kWh)_t-60min,815.1837649731845
HU-HR Schedule_t+210min,814.1913576074949
HU-RO Schedule_t+465min,813.6874798156923
HU-UA_t-360min,812.5028979294885
temp_mean,809.8347695877322
HU-UA_t-225min,806.6341235102545
HU-RS Schedule_t+15min,804.8552412633595
HU-AT_t-15min,804.1150937123497
Requested Positive aFRR Balancing Energy (kWh)_t-270min,802.9406155375916
HU-UA_t-60min,801.2680459861726
Gross Certified System Load (Actual)_t-345min,799.7057448204771
Requested Negative aFRR Balancing Energy (kWh)_t-420min,799.310609152566
Negative GCC Energy (kWh)_t-150min,798.9555747830548
HU-UA Schedule_t+345min,796.0829102122927
Gross Certified System Load (Actual)_t-360min,795.3479670569077
Activated Positive aFRR Balancing Energy (kWh)_t-30min,795.1044960935143
Activated Positive aFRR Balancing Energy (kWh)_t-45min,794.8942159916222
HU-SK_t-90min,793.4978748573151
Gross Certified System Load (Actual)_t-495min,792.855997432388
Negative GCC Energy (kWh)_t-405min,790.9705007719691
Estimated Wind Power Production (Intraday)_t+180min,789.4766285968986
HU-UA_t-405min,789.3182834918039
Solar Power Plants Net (Operational Control)_t-315min,788.3938836423367
Estimated Wind Power Production (Current)_t+90min,785.6177643324809
Requested Negative aFRR Balancing Energy (kWh)_t-285min,784.6731066866025
HU-RO Schedule_t+720min,783.7557987079583
Gross System Load Forecast (Day-Ahead)_t+165min,783.3157321058128
Activated Positive aFRR Balancing Energy Cost (HUF)_t-105min,782.282362994376
Activated Negative aFRR Balancing Energy (kWh)_t-405min,781.7299636423124
Requested Positive aFRR Balancing Energy (kWh)_t-240min,781.3992042997337
Gross Planned Power Plant Generation_t+180min,781.2970771240854
Gross System Load Forecast (Day-Ahead)_t+270min,780.3513066672265
HU-RO_t-525min,778.997342348844
Gross Actual Power Plant Generation_t-270min,778.6478267442205
HU-RS Schedule_t+105min,778.4538771214056
HU-AT Schedule_t+630min,777.3460527962678
HU-UA_t-600min,774.6396289866803
Estimated Wind Power Production (Day-Ahead)_t+150min,773.2537033650549
Negative GCC Energy (kWh)_t-270min,773.1022338620244
Requested Positive aFRR Balancing Energy (kWh)_t-30min,772.1853042833812
Wind Power Actual - Net Commercial Settlement,771.0159200985321
10m_wind_speed_std,770.636803574153
Gross System Load Forecast (Day-Ahead)_t+15min,769.2028658952634
HU-SK Schedule_t+60min,769.1246975238362
Negative GCC Energy (kWh)_t-255min,768.4845769836097
Requested Negative aFRR Balancing Energy (kWh)_t-75min,768.3816283776719
HU-AT Schedule_t+435min,766.7586490152978
HU-SK_t-360min,766.312308686439
Gross System Load Forecast (Day-Ahead)_t+345min,765.0391917032487
HU-SK Schedule_t+510min,762.044586289582
Negative GCC Energy (kWh)_t-285min,761.7413546092669
Activated Positive aFRR Balancing Energy Cost (HUF)_t-240min,758.9146917057989
HU-HR Schedule_t+570min,758.5542020244319
HU-SK Schedule_t+300min,757.6370539745014
HU-SK_t-345min,754.258928160998
HU-UA,753.9723338376913
