feature,mean_abs_shap
HU-AT Schedule_t+420min,9.679507
Negative GCC Energy (kWh)_t-510min,9.614806
HU-AT Schedule_t+720min,9.564332
HU-AT Schedule_t+690min,9.552407
Solar Power Plants Net (Operational Control)_t-450min,9.520319
Activated Negative aFRR Balancing Energy Cost (HUF)_t-105min,9.45581
Activated Negative aFRR Balancing Energy Cost (HUF)_t-150min,9.445707
Gross System Load Forecast (Day-Ahead)_t+315min,9.321168
Gross System Load Forecast (Day-Ahead)_t+600min,9.311988
System Direction (kWh)_t-135min,9.25978
HU-RO_t-75min,9.256518
HU-AT Schedule_t+330min,9.224082
Gross System Load Forecast (Day-Ahead)_t+165min,9.217783
Estimated Solar Power Production (Day-Ahead)_t+165min,9.176042
System Direction (kWh)_t-90min,9.130524
Activated Positive aFRR Balancing Energy (kWh),9.119279
Estimated Solar Power Production (Intraday)_t+150min,9.105605
HU-AT Schedule_t+645min,9.095719
Activated Negative aFRR Balancing Energy Cost (HUF)_t-60min,9.020249
Activated Negative aFRR Balancing Energy (kWh)_t-360min,8.9861555
Estimated Solar Power Production (Intraday)_t+300min,8.97166
HU-AT Schedule_t+705min,8.969691
Activated Negative aFRR Balancing Energy (kWh)_t-195min,8.949507
Estimated Solar Power Production (Day-Ahead)_t+90min,8.918365
Gross System Load Forecast (Day-Ahead),8.848077
Gross System Load Forecast (Day-Ahead)_t+105min,8.822426
Activated Negative aFRR Balancing Energy (kWh)_t-165min,8.803583
Estimated Solar Power Production (Current)_t+315min,8.792474
Gross Actual System Load_t-60min,8.784232
Gross Planned System Load_t-30min,8.761425
Estimated Solar Power Production (Intraday)_t+135min,8.754661
Negative GCC Energy (kWh)_t-495min,8.696886
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-60min,8.649055
Requested Negative aFRR Balancing Energy (kWh)_t-135min,8.610465
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-60min,8.580914
Estimated Solar Power Production (Intraday)_t+255min,8.580007
Activated Negative aFRR Balancing Energy (kWh)_t-180min,8.575613
Gross System Load Forecast (Day-Ahead)_t+720min,8.573573
HU-RO Schedule_t+300min,8.550239
HU-AT Schedule_t+360min,8.529856
HU-UA Schedule_t+570min,8.501027
Estimated Solar Power Production (Intraday)_t+60min,8.47178
HU-SK Schedule_t+60min,8.446753
HU-HR Schedule_t+105min,8.404471
Activated Negative aFRR Balancing Energy (kWh)_t-120min,8.392394
HU-UA_t-285min,8.38869
Estimated Solar Power Production (Intraday)_t+225min,8.364169
HU-AT Schedule_t+405min,8.347157
HU-SK Schedule_t+615min,8.335538
HU-HR Schedule_t+375min,8.332051
Net System Load Forecast (Day-Ahead)_t-15min,8.324753
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-75min,8.31838
Solar Power Plants Net (Operational Control)_t-495min,8.298043
temp_std,8.219461
Solar Power Plants Net (Operational Control)_t-285min,8.205979
Estimated Solar Power Production (Day-Ahead)_t+105min,8.1874075
Estimated Solar Power Production (Current)_t+300min,8.173486
Gross System Load Forecast (Day-Ahead)_t+375min,8.172587
Gross System Load Forecast (Day-Ahead)_t+300min,8.165752
Gross System Load Forecast (Day-Ahead)_t+555min,8.164779
Net Domestic Generation (Actual)_t-345min,8.141427
Activated Positive aFRR Balancing Energy Cost (HUF)_t-30min,8.138458
HU-RO Schedule,8.107508
temp_avg_t+105min,8.048975
Gross System Load Forecast (Day-Ahead)_t+540min,8.0190115
HU-RS_t-420min,8.006319
Activated Negative aFRR Balancing Energy (kWh)_t-150min,7.984289
Net Load,7.9443965
Solar Power Plants Net (Operational Control)_t-330min,7.8955407
HU-RO Schedule_t+420min,7.837031
Activated Negative aFRR Balancing Energy (kWh)_t-105min,7.8049593
HU-HR_t-255min,7.798496
Solar Power Plants Net (Operational Control)_t-555min,7.795451
Estimated Solar Power Production (Current)_t+285min,7.7636666
Activated Positive aFRR Balancing Energy (kWh)_t-375min,7.75468
Estimated Solar Power Production (Intraday)_t+195min,7.7278733
HU-UA,7.6688285
HU-SK Schedule_t+600min,7.644953
Estimated Solar Power Production (Day-Ahead)_t+135min,7.611788
Gross Planned Power Plant Generation_t+15min,7.607017
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-135min,7.60496
Negative GCC Energy (kWh)_t-525min,7.6017194
Estimated Solar Power Production (Day-Ahead)_t+450min,7.592058
Gross System Load Forecast (Day-Ahead)_t+570min,7.5798507
Estimated Solar Power Production (Current)_t+270min,7.5200243
HU-SK_t-225min,7.491796
Activated Negative aFRR Balancing Energy (kWh)_t-585min,7.476775
temp_avg_t+120min,7.4729476
Solar Power Plants Net (Operational Control)_t-270min,7.463847
Solar Power Plants Net (Operational Control)_t-315min,7.452868
Gross Actual Power Plant Generation_t-30min,7.420778
HU-RS_t-315min,7.418837
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-300min,7.412722
Activated Positive aFRR Balancing Energy Cost (HUF)_t-285min,7.412095
Gross Planned Power Plant Generation_t+30min,7.4078236
Solar Power Plants Net (Operational Control)_t-240min,7.362767
HU-RO Schedule_t+405min,7.3565273
Net System Load Forecast (Day-Ahead),7.3364754
Activated Negative aFRR Balancing Energy Cost (HUF)_t-600min,7.333129
Activated Negative aFRR Balancing Energy Cost (HUF)_t-30min,7.327817
HU-SK_t-360min,7.271157
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-600min,7.2678785
Estimated Solar Power Production (Day-Ahead)_t+150min,7.25287
Activated Negative aFRR Balancing Energy (kWh)_t-435min,7.2276816
Estimated Wind Power Production (Current)_t+75min,7.2187095
Net Planned System Load_t-360min,7.2145796
Gross System Load Forecast (Day-Ahead)_t+150min,7.200943
Estimated Wind Power Production (Intraday)_t+285min,7.2003045
Requested Negative aFRR Balancing Energy (kWh)_t-420min,7.198049
Estimated Solar Power Production (Intraday)_t+180min,7.175678
HU-RO Schedule_t+375min,7.166772
Solar Power Plants Net (Operational Control)_t-465min,7.1475863
HU-HR Schedule_t+120min,7.133258
HU-SK Schedule_t+165min,7.125809
Activated Negative aFRR Balancing Energy (kWh)_t-300min,7.062252
temp_std_t+420min,7.0481963
temp_avg_t+195min,7.025916
HU-SK Schedule_t+90min,7.021605
Estimated Solar Power Production (Intraday)_t+240min,6.9956107
HU-UA Schedule_t+180min,6.982219
HU-RO Schedule_t+555min,6.965981
Estimated Solar Power Production (Day-Ahead)_t+255min,6.9639797
Estimated Solar Power Production (Day-Ahead)_t+345min,6.946312
Net Domestic Generation (Actual)_t-240min,6.912451
temp_avg_t+600min,6.900259
Estimated Solar Power Production (Intraday)_t+270min,6.886246
HU-SK Schedule_t+555min,6.8831234
Gross Planned Power Plant Generation_t+105min,6.8727465
Activated Negative aFRR Balancing Energy Cost (HUF)_t-75min,6.861053
HU-HR Schedule_t+135min,6.8343554
Estimated Solar Power Production (Intraday)_t+330min,6.8298774
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-240min,6.8187594
HU-AT_t-255min,6.7946763
Activated Positive aFRR Balancing Energy (kWh)_t-240min,6.7944965
Negative GCC Energy (kWh)_t-315min,6.7568817
HU-RO Schedule_t+570min,6.749737
Activated Positive aFRR Balancing Energy Cost (HUF)_t-60min,6.734929
HU-AT_t-105min,6.722155
Requested Positive aFRR Balancing Energy (kWh)_t-390min,6.7131853
Activated Positive aFRR Balancing Energy Cost (HUF)_t-300min,6.7112985
Estimated Solar Power Production (Day-Ahead)_t+375min,6.7013464
HU-RO_t-90min,6.68412
HU-SK_t-165min,6.681311
HU-SK Schedule_t+585min,6.6610556
Gross System Load Forecast (Day-Ahead)_t+330min,6.655765
HU-HR Schedule_t+360min,6.6453824
Requested Negative aFRR Balancing Energy (kWh)_t-120min,6.644348
Requested Negative aFRR Balancing Energy (kWh)_t-105min,6.6306267
HU-SK Schedule_t+45min,6.6292877
HU-RO Schedule_t+705min,6.5811048
Gross Planned Power Plant Generation_t+435min,6.5229816
HU-AT Schedule_t+390min,6.5150084
HU-RO_t-420min,6.508956
HU-UA Schedule_t+720min,6.5040565
HU-AT_t-90min,6.5007277
HU-SK_t-180min,6.496618
Net Actual System Load - Net Commercial Settlement Measurement_t-105min,6.4930487
Gross System Load Forecast (Day-Ahead)_t+585min,6.4909754
